,Year/budget,MEPFS aspect,Fire alarm system,Panelboard,Lighting fixtures,Conduits,Sewer Line works,Plumbing fixtures,Wires
"Project 125: 2x4 Ma-ayon, Capiz","2024: 14,859,476.05",unit cost,"196,997.360","41,444.010","106,135.630","39,531.770","93,413.770","157,249.110","354,306.580"
"Project 126: 2x4 Ma-ayon, Capiz","2024: 15,500,399.65",unit cost,"69,526.280","91,079.100","114,809.630","125,153.690","121,502.850","141,986.040","140,429.630"
"Project 127: 1x2 Milagros, Masbate","2024: 5,850,335.9",unit cost,,"38,000.000","82,000.000","73,700.000","22,910.140","14,740.550","47,300.000"
"Project 128: 1x5 Santa Ignacia, Tarlac","2024: 18,740,697.35",unit cost,,"14,757.630","67,622.950","61,782.630","39,505.810","155,534.250","84,253.500"
Project 129: 1x3 Pura Tarlac,"2024: 10,979,055.79",unit cost,"50,239.310","19,282.910","49,989.060","175,665.760","100,599.580","182,096.880","244,664.010"
"Project 130: 2x10 Jordan, Guimaras","2024: 39,696,137.55",unit cost,"348,033.950","211,638.950","204,027.660","128,459.060","247,144.500","384,609.610","309,351.250"
Project 131: 4x8 Quiot Pardo Cebu,"2024: 39,759,647.00",unit cost,,"243,000.000","690,000.000","230,000.000","140,000.000","370,000.000","456,000.000"
Project 136: 2x4 Pilar Bataan,"2024: 14,604,194.55",unit cost,,"68,142.000","73,405.000","393,316.620","165,602.000","529,954.000","314,594.000"
"Project 138: 2x4 Ajuy, Iloilo","2024: 15,514,088.25",unit cost,"449,728.500","217,209.980","363,846.600","226,285.800","305,929.000","467,519.000","370,693.700"
"Project 139: 2x4 Buenavista, Guimaras","2024: 15,514,440.95",unit cost,"129,277.270","107,817.230","261,527.920","106,259.430","90,235.520","105,878.070","142,605.740"
"Project 140: 1x3 Barobo, Surigao Del sur","2024: 9,611,535.48",unit cost,,"91,657.000","98,020.440","142,612.000",,"252,096.000","277,548.000"
"Project 141: 1x3 Barobo, Surigao Del sur","2024: 9,651,558.77",unit cost,,"28,843.820","44,506.000","34,454.950",,"41,947.500","36,336.650"
"Project 142: 1x3 Barobo, Surigao Del sur","2024: 9,687,517.65",unit cost,,"18,494.040","58,865.630","41,888.440",,"52,893.750","83,094.380"
"Project 143: 1x3 Barobo, Surigao Del sur","2024: 9,718,956.84",unit cost,,"13,743.300","108,171.300","28,914.000",,"228,140.000","100,119.300"
"Project 144: 1x3 Barobo, Surigao Del sur","2024: 9,930,171.7",unit cost,,"14,579.820","113,903.640","28,507.360",,"223,903.920","91,433.640"
"Project 145: 1x2 Pontevedra, Negros Occidnetal","2024: 4,915,295.55",unit cost,,"9,700.000","36,875.000","30,000.000","31,400.000","73,500.000","49,200.000"
"Project 146: 1x2 La Corlota, Negros Occidnetal","2024: 4,925,053.59",unit cost,,"30,127.610","44,973.090","37,056.770","19,763.910","22,537.960","70,905.240"
"Project 147: 1x2 Valladolid, Negros Occidental","2024: 4,948,168.58",unit cost,,"27,048.000","27,048.000","18,032.000","27,048.000","36,064.000","36,064.000"
Project 148: San Enrique Negros Occidental,"2024: 4,947,465.01",unit cost,,"27,048.000","27,048.000","18,032.000","27,048.000","36,064.000","36,064.000"
Project 149: LA Carlota Negros Occidental,"2024: 4,960,678.36",unit cost,,"46,827.200","37,968.000","33,750.000","53,788.000","46,827.200","54,735.000"
Project 150:1x2  BAgo CityNegros Occidental,"2024: 4,949,269.88",unit cost,,"27,048.000","27,048.000","18,032.000","27,048.000","36,064.000","36,064.000"
Project 151:1x2 Bago City Negros Occidental,"2024: 4,925,053.59",unit cost,,"30,127.610","44,973.090","37,056.770","19,763.910","22,537.960","70,905.240"
Project 152:1x2 Pulupandan Negros Occidental,"2024: 4,942,656.33",unit cost,,"9,700.000","36,062.330","30,000.000","30,725.000","82,000.000","54,100.000"
Project 153: 3x6 San Mateo Rizal,"2023: 24,959,293.13",unit cost,"1,781,895.190","81,784.080","88,080.300","87,651.210","66,070.560","240,623.330","159,960.470"
"Project 154: 3x9 Baler, Aurora","2023: 29,456,364.98",unit cost,"61,903.350","106,245.720","287,628.630","150,227.490","180,301.680","312,923.790","247,564.790"
"Project 155: 1x4 DIlasag, Aurora","2023: 9,728,874.27",unit cost,,"18,380.650","65,363.050","43,249.940","66,658.640","152,190.980","52,408.410"
"Project 156: 1x4 Dipaculao, Aurora","2023: 9,809,368.69",unit cost,,"18,783.880","66,753.290","52,804.370","67,631.090","145,408.520","46,635.770"
Project 157: 2x4 San Lorenzo Guimaras,"2024: 15,600,784.32",unit cost,"55,058.130","203,826.780","85,794.330","68,065.680","141,397.760","256,809.660","131,613.890"
Project 158: 2x4 Surigao City Surigao del norte,"2024: 21,200,658.33",unit cost,"34,675.200","83,731.200","125,529.600","76,473.600","109,670.400","225,120.000","163,296.000"
"Project 159: 2x12 Donsol, Sorsogon","2024: 61,380,991.62",unit cost,"185,850.000","92,925.000","619,500.000","619,500.000","619,500.000","619,500.000","631,890.000"
"Project 160: 2x12 Donsol, Sorsogon","2024: 61,379,478.66",unit cost,"185,850.000","92,925.000","619,500.000","619,500.000","619,500.000","619,500.000","631,890.000"
"Project 161: 1x3 Hinatuan, Surigao Del Sur","2024: 9,748,288.86",unit cost,,"11,195.630","105,420.000","59,464.130",,"235,085.550","49,670.250"
"Project 162: 2x4 San Fernando, La Union","2020: 10,225,396.27",unit cost,,"38,720.000","9,562.000","37,338.000","57,326.000","95,222.000","78,145.000"
"Project 163: 2x4 Santol, La Union","2020: 11,643,725.83",unit cost,,"29,885.000","46,295.000","44,635.000","59,100.000","105,260.000","88,950.000"
