,,Structural aspect,Gross floor area (Cement floor finish),Gross floor area (unglazed tiles),"gross floor area  (cement floor finish, groove)",Number of floors,Grade 40,Grade 60,Number of rooms,Volume of structural concrete (cu.m.) wall footing/septic vault/stiffners CLASS A 28 DAYS / Lean Concrete,Volume of structural concrete (cu.m.) footings on fill CLASS A 28 DAYS,Volume of structural concrete (cu.m.) footing tie beams CLASS A 28 DAYS,Volume of structural concrete (cu.m.) columns CLASS A 28 DAYS,Volume of structural concrete (cu.m.) suspended slab CLASS A 28 DAYS,Volume of structural concrete (cu.m.) beams/girders CLASS A 28 DAYS,Volume of structural concrete (cu.m.) 3000 PSI  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 14 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS,Volume of structural concrete (cu.m.)  CLASS A 28 DAYS 4000 PSI,Volume of structural concrete (cu.m.)  CLASS B 28 DAYS,Volume of structural concrete (cu.m.)  CLASS AA 400 PSI @ 28 days,Volume of structural concrete (cu.m.)  CLASS A/B 2500 psi 28 days / Reimforced concrete,Area of formworks (sq.m.),Types of footings/foundation,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 86 1x5 La paz, zamboanga","2023: 10,629,229.80",quantity ,466.430,13.500,0.000,1.000,26905.190,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,192.190,0.000,0.000,0.000,0.000,0.000,0.000,861.930,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 87:1x4 Nueva Valencia Guimaas,"2023: 11,442,537.60",quantity ,342.000,15.370,0.000,1.000,6429.370,16501.850,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,156.560,0.000,0.000,0.000,0.000,293.080,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 88: 2x4 San Miguel Catanduanes,"2023: 28,337,380.67
",quantity ,496.090,22.785,0.000,2.000,56541.290,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,323.495,0.000,0.000,0.000,0.000,0.000,960.520,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 88: 2x4 San Miguel Catanduanes,"2023: 28,337,380.67
",quantity ,496.090,22.785,0.000,2.000,56541.290,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,323.495,0.000,0.000,0.000,0.000,0.000,960.520,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 90: 2x2 sibunag, guimaras","2018: 8,451,679.65",quantity ,387.000,22.020,0.000,2.000,24738.610,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,156.540,0.000,0.000,0.000,0.000,437.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 91: 4x12 Lucena, QUezon Province (has lean concrete)","2018: 34,993,788.33",quantity ,1320.170,97.730,0.000,4.000,115901.560,0.000,12.000,39.480,0.000,0.000,0.000,0.000,0.000,0.000,0.000,648.680,0.000,0.000,0.000,0.000,3268.370,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 95: 2x4 SIpalay City, Negros Occidnetal","2024: 13,979,500.00",quantity ,183.590,23.300,252.000,2.000,28757.240,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,171.740,0.000,0.000,0.000,0.000,0.000,0.000,970.770,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 96: 1x2 Lapining, Northern Samar","2024: 5,949,900.00",quantity ,171.000,0.000,0.000,1.000,10470.000,4375.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,72.000,0.000,0.000,0.000,0.000,461.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 97:  1x2 Las Navas, Northern Samar","2024: 5,961,565.59",quantity ,171.000,0.000,0.000,1.000,10470.000,4375.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,72.000,0.000,0.000,0.000,0.000,461.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 98: Pambujan, Northern Samar","2024: 5,948,888.00",quantity ,171.000,0.000,0.000,1.000,10470.000,4375.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,72.000,0.000,0.000,0.000,0.000,461.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 99: 2x2 MaLOLOS Bulacan,"2024: 9,746,839.41",quantity ,132.800,0.000,0.000,2.000,20255.150,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,119.100,0.000,0.000,0.000,0.000,938.770,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 100: 4x12 Meycuayan, Bulacan","2024: 39,378,915.66",quantity ,1642.800,1409.110,0.000,4.000,26963.790,71659.160,12.000,47.030,0.000,0.000,0.000,0.000,0.000,0.000,607.650,0.000,0.000,0.000,0.000,0.000,2496.060,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
"Project 101: 2x4 taay, rizal","2023: 19,199,166.94",quantity ,457.460,21.300,0.000,2.000,23933.200,26259.800,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,248.790,0.000,0.000,0.000,0.000,1781.860,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 103: 3x9 San Luis Aurora,"2023: 29,466,330.56",quantity ,1054.500,66.730,0.000,3.000,38965.070,98121.490,9.000,0.000,42.370,0.000,0.000,0.000,0.000,0.000,0.000,646.940,0.000,0.000,0.000,0.000,2271.010,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
Project 105: 2x4 BAcong Negros Oriental,"2023: 14,848,582.15",quantity ,440.000,21.800,0.000,2.000,13785.200,24017.400,4.000,0.000,0.000,0.000,0.000,0.000,0.000,28.000,0.000,0.000,165.000,0.000,0.000,0.000,1600.000,isolated,,,,,,,,,,,,,,,,,,,,,,,,,,
